no	phrase	url
145	IT'S THE THOUGHT THAT COUNTS	https://www.youtube.com/shorts/UUC4IV16k8Q
146	COULD YOU KEEP IT DOWN?	https://www.youtube.com/shorts/nlLaZO4WfdM
147	WHO DO YOU THINK YOU ARE?	https://www.youtube.com/shorts/UL0BJa-ZgW0
148	I'LL KEEP YOU POSTED	https://www.youtube.com/shorts/0RLeJ304Au0
149	I'LL SEE WHAT I CAN DO	https://www.youtube.com/shorts/LZ_4u5WwHcA
150	THE CAT'S OUT OF THE BAG	https://www.youtube.com/shorts/QgOwRW2Uwdc
151	YOU JUST MADE MY DAY	https://www.youtube.com/shorts/60kWFQZ3efc
152	HOW DOES THAT SOUND?	https://www.youtube.com/shorts/C7DIN3wysI4
153	WE'RE ON THE SAME PAGE	https://www.youtube.com/shorts/B5Cl57vUdE4
154	WHERE'D YOU GO TO SCHOOL?	https://www.youtube.com/shorts/IVO3Ab2KwEY
155	STEP UP YOUR GAME	https://www.youtube.com/shorts/PXf2UPats-o
156	I'M GETTING THE HANG OF IT	https://www.youtube.com/shorts/Ljkv2YgSCwI
157	I'M GOOD WITH THAT	https://www.youtube.com/shorts/1KQOso4xLus
158	HOPE FOR THE BEST, PREPARE FOR THE WORST	https://www.youtube.com/shorts/GmG79VAToLM
159	CAN I HAVE A WORD WITH YOU?	https://www.youtube.com/shorts/7GW9wpnhUt4
160	IT'S A DONE DEAL	https://www.youtube.com/shorts/XjiJ6z04i4I
161	LET'S PLAY IT BY EAR	https://www.youtube.com/shorts/AJARr4Etxi8
162	YOU'VE GOT SOME NERVE	https://www.youtube.com/shorts/OvjwC3l_340
163	WHAT'S GOTTEN INTO YOU?	https://www.youtube.com/shorts/Ty40Uz-fL-0
164	WHAT DO YOU DO FOR A LIVING?	https://www.youtube.com/shorts/5GF9oZuK1QI
165	LET'S GIVE IT A SHOT	https://www.youtube.com/shorts/uKitPcHOGbI
166	WHAT ARE YOU UP TO?	https://www.youtube.com/shorts/lg703clsSkY
167	WHERE DOES THAT LEAVE US?	https://www.youtube.com/shorts/Wt7cLOA3la4
168	HOW IS THAT RELEVANT?	https://www.youtube.com/shorts/cEPJ9tbbNeI
169	ALL'S WELL THAT ENDS WELL	https://www.youtube.com/shorts/Qa8WXhlcFXY
170	OUT WITH THE OLD, IN WITH THE NEW	https://www.youtube.com/shorts/FXha8FKCAK0
171	WE HAVE A LOT TO CATCH UP ON	https://www.youtube.com/shorts/33xgi1p4PO8
172	THAT'S ON ME	https://www.youtube.com/shorts/vc008noLfwo
173	YOU'RE IN FOR A TREAT	https://www.youtube.com/shorts/OyXivL3qYS0
174	WHERE ARE YOU GOING WITH THIS?	https://www.youtube.com/shorts/UWAIpvDOv3g
175	WHAT MAKES YOU THINK THAT?	https://www.youtube.com/shorts/xfuAr_gKZfo
176	THAT SHIP HAS SAILED	https://www.youtube.com/shorts/sJq3W3SiAzU
177	WHAT DO WE HAVE TO LOSE?	https://www.youtube.com/shorts/eu8efX_m94Y
178	I'M DRAWING A BLANK	https://www.youtube.com/shorts/RPbSwp16g_Y
179	I'M TURNING OVER A NEW LEAF	https://www.youtube.com/shorts/9to9k4Uwa3I
180	THAT TRACKS	https://www.youtube.com/shorts/si_us6wBEXs
181	I KNEW THIS DAY WOULD COME	https://www.youtube.com/shorts/S2aGdHDivh0
182	CUT ME SOME SLACK	https://www.youtube.com/shorts/YxKAnZup8gQ
183	WHAT'S THAT SUPPOSED TO MEAN?	https://www.youtube.com/shorts/qX9SKrlYaIs
184	YOU MIGHT AS WELL GET IT OVER WITH	https://www.youtube.com/shorts/Qdet3nvQzoU
185	YOU COULD DO A LOT WORSE	https://www.youtube.com/shorts/MGrL3KH80DA
186	YOU LOOK FAMILIAR	https://www.youtube.com/shorts/-JPsVwAkdaA
187	CAN WE NOT DO THIS RIGHT NOW?	https://www.youtube.com/shorts/UOIZQRmiK3w
188	WHO ARE WE TO JUDGE?	https://www.youtube.com/shorts/wF5I8ZmS86c
189	WHAT'S IN THIS FOR YOU?	https://www.youtube.com/shorts/tGp5M-gne8M
190	TO WHAT DO I OWE THIS PLEASURE?	https://www.youtube.com/shorts/F2nxsaIKvIw
191	LAY IT ON ME	https://www.youtube.com/shorts/mNJHv4bwRAQ
192	NOT IF I CAN HELP IT	https://www.youtube.com/shorts/96F_jEGwD4c
193	JUST FOR TODAY	https://www.youtube.com/shorts/UoaUG9xca78
194	WHAT DOES THAT PROVE?	https://www.youtube.com/shorts/xWumnZ-Qs5M
195	WHAT IS IT YOU WANT FROM ME?	https://www.youtube.com/shorts/BSDdycHajE4
196	HOW ARE WE LOOKING?	https://www.youtube.com/shorts/YTjNWuQ4HqA
197	YOU'RE PUSHING IT	https://www.youtube.com/shorts/iwkrdrDhgus
198	WHAT DOES THAT HAVE TO DO WITH ANYTHING?	https://www.youtube.com/shorts/OS5hkOy93ck
199	CAN YOU COVER FOR ME?	https://www.youtube.com/shorts/PX5rioMow6Q
200	I'LL BACK YOU UP	https://www.youtube.com/shorts/QHtAr769PIc
201	WHAT'S UP WITH THAT?	https://www.youtube.com/shorts/-M7mmsscj1w
202	HOW FAR ALONG ARE YOU?	https://www.youtube.com/shorts/6fxi3-blWlY
203	I'M ON THE FENCE	https://www.youtube.com/shorts/jgpw3snIT-4
204	THE WRITING'S ON THE WALL	https://www.youtube.com/shorts/RlY6ptKDkzc
205	THAT'S SO RANDOM	https://www.youtube.com/shorts/fuRpx7_4zbc
206	I'VE GOT IT COVERED	https://www.youtube.com/shorts/OH9oS6DH28E
207	A PICTURE'S WORTH A THOUSAND WORDS	https://www.youtube.com/shorts/QnPauI8oSLE
208	YOU'VE GOT THIS	https://www.youtube.com/shorts/ZpJx3wgIbdY
209	WHAT WOULD YOU DO IF YOU WERE ME?	https://www.youtube.com/shorts/PNFVF-OOzKc
210	ARE YOU KEEPING TABS ON ME?	https://www.youtube.com/shorts/SxUr7lXt7Hs
211	YOU MADE YOUR BED	https://www.youtube.com/shorts/6Ia49Juk3V4
212	DON'T GET CUTE WITH ME	https://www.youtube.com/shorts/eaHZ11a_iZM
213	I'LL GET THE BALL ROLLING	https://www.youtube.com/shorts/LRTe-0plJ2M
214	WHAT'S EATING YOU?	https://www.youtube.com/shorts/x17cbpE7rz4
215	NO GOOD DEED GOES UNPUNISHED	https://www.youtube.com/shorts/IWA_e1QgsWk
216	TODAY IS THE DAY	https://www.youtube.com/shorts/iUmQcXWAb9U
217	I'M ON THE CLOCK	https://www.youtube.com/shorts/dpY_kOC7qD4
